,グラフ,順位,チーム,勝点,試合,勝,分,敗,得点,失点,得失点差,直近試合の勝敗,Unnamed: 12,Unnamed: 13,年度,カテゴリ,節,年間勝点順位,総勝点,Unnamed: 14,Unnamed: 15
0,グラフ,1,ヴィッセル神戸,3,1,1,0,0,3,2,1,,,281.0,2012,Ｊリーグ　ディビジョン１,1,,,,
1,グラフ,2,ベガルタ仙台,3,1,1,0,0,1,0,1,,,41.0,2012,Ｊリーグ　ディビジョン１,1,,,,
2,グラフ,2,ＦＣ東京,3,1,1,0,0,1,0,1,,,130.0,2012,Ｊリーグ　ディビジョン１,1,,,,
3,グラフ,2,川崎フロンターレ,3,1,1,0,0,1,0,1,,,142.0,2012,Ｊリーグ　ディビジョン１,1,,,,
4,グラフ,2,名古屋グランパス,3,1,1,0,0,1,0,1,,,231.0,2012,Ｊリーグ　ディビジョン１,1,,,,
5,グラフ,2,サンフレッチェ広島,3,1,1,0,0,1,0,1,,,341.0,2012,Ｊリーグ　ディビジョン１,1,,,,
6,グラフ,7,柏レイソル,1,1,0,1,0,3,3,0,,,122.0,2012,Ｊリーグ　ディビジョン１,1,,,,
7,グラフ,7,横浜Ｆ・マリノス,1,1,0,1,0,3,3,0,,,143.0,2012,Ｊリーグ　ディビジョン１,1,,,,
8,グラフ,9,コンサドーレ札幌,1,1,0,1,0,0,0,0,,,11.0,2012,Ｊリーグ　ディビジョン１,1,,,,
9,グラフ,9,ジュビロ磐田,1,1,0,1,0,0,0,0,,,222.0,2012,Ｊリーグ　ディビジョン１,1,,,,
10,グラフ,9,セレッソ大阪,1,1,0,1,0,0,0,0,,,272.0,2012,Ｊリーグ　ディビジョン１,1,,,,
11,グラフ,9,サガン鳥栖,1,1,0,1,0,0,0,0,,,412.0,2012,Ｊリーグ　ディビジョン１,1,,,,
12,グラフ,13,ガンバ大阪,0,1,0,0,1,2,3,-1,,,271.0,2012,Ｊリーグ　ディビジョン１,1,,,,
13,グラフ,14,鹿島アントラーズ,0,1,0,0,1,0,1,-1,,,80.0,2012,Ｊリーグ　ディビジョン１,1,,,,
14,グラフ,14,浦和レッズ,0,1,0,0,1,0,1,-1,,,111.0,2012,Ｊリーグ　ディビジョン１,1,,,,
15,グラフ,14,大宮アルディージャ,0,1,0,0,1,0,1,-1,,,112.0,2012,Ｊリーグ　ディビジョン１,1,,,,
16,グラフ,14,アルビレックス新潟,0,1,0,0,1,0,1,-1,,,191.0,2012,Ｊリーグ　ディビジョン１,1,,,,
17,グラフ,14,清水エスパルス,0,1,0,0,1,0,1,-1,,,221.0,2012,Ｊリーグ　ディビジョン１,1,,,,
0,グラフ,1,ベガルタ仙台,6,2,2,0,0,3,0,3,,,41.0,2012,Ｊリーグ　ディビジョン１,2,,,,
1,グラフ,2,ヴィッセル神戸,6,2,2,0,0,5,3,2,,,281.0,2012,Ｊリーグ　ディビジョン１,2,,,,
2,グラフ,3,ＦＣ東京,6,2,2,0,0,4,2,2,,,130.0,2012,Ｊリーグ　ディビジョン１,2,,,,
3,グラフ,4,川崎フロンターレ,6,2,2,0,0,2,0,2,,,142.0,2012,Ｊリーグ　ディビジョン１,2,,,,
4,グラフ,5,ジュビロ磐田,4,2,1,1,0,2,1,1,,,222.0,2012,Ｊリーグ　ディビジョン１,2,,,,
5,グラフ,5,セレッソ大阪,4,2,1,1,0,2,1,1,,,272.0,2012,Ｊリーグ　ディビジョン１,2,,,,
6,グラフ,7,名古屋グランパス,3,2,1,0,1,3,3,0,,,231.0,2012,Ｊリーグ　ディビジョン１,2,,,,
7,グラフ,8,大宮アルディージャ,3,2,1,0,1,2,2,0,,,112.0,2012,Ｊリーグ　ディビジョン１,2,,,,
8,グラフ,8,清水エスパルス,3,2,1,0,1,2,2,0,,,221.0,2012,Ｊリーグ　ディビジョン１,2,,,,
9,グラフ,8,サンフレッチェ広島,3,2,1,0,1,2,2,0,,,341.0,2012,Ｊリーグ　ディビジョン１,2,,,,
10,グラフ,11,浦和レッズ,3,2,1,0,1,1,1,0,,,111.0,2012,Ｊリーグ　ディビジョン１,2,,,,
11,グラフ,12,柏レイソル,1,2,0,1,1,3,4,-1,,,122.0,2012,Ｊリーグ　ディビジョン１,2,,,,
12,グラフ,13,コンサドーレ札幌,1,2,0,1,1,1,2,-1,,,11.0,2012,Ｊリーグ　ディビジョン１,2,,,,
13,グラフ,13,サガン鳥栖,1,2,0,1,1,1,2,-1,,,412.0,2012,Ｊリーグ　ディビジョン１,2,,,,
14,グラフ,15,横浜Ｆ・マリノス,1,2,0,1,1,3,5,-2,,,143.0,2012,Ｊリーグ　ディビジョン１,2,,,,
15,グラフ,16,ガンバ大阪,0,2,0,0,2,3,5,-2,,,271.0,2012,Ｊリーグ　ディビジョン１,2,,,,
16,グラフ,17,アルビレックス新潟,0,2,0,0,2,1,3,-2,,,191.0,2012,Ｊリーグ　ディビジョン１,2,,,,
17,グラフ,18,鹿島アントラーズ,0,2,0,0,2,0,2,-2,,,80.0,2012,Ｊリーグ　ディビジョン１,2,,,,
0,グラフ,1,ベガルタ仙台,9,3,3,0,0,7,1,6,,,41.0,2012,Ｊリーグ　ディビジョン１,3,,,,
1,グラフ,2,ＦＣ東京,9,3,3,0,0,6,2,4,,,130.0,2012,Ｊリーグ　ディビジョン１,3,,,,
2,グラフ,3,ジュビロ磐田,7,3,2,1,0,4,2,2,,,222.0,2012,Ｊリーグ　ディビジョン１,3,,,,
3,グラフ,4,セレッソ大阪,7,3,2,1,0,3,1,2,,,272.0,2012,Ｊリーグ　ディビジョン１,3,,,,
4,グラフ,5,サンフレッチェ広島,6,3,2,0,1,4,2,2,,,341.0,2012,Ｊリーグ　ディビジョン１,3,,,,
5,グラフ,6,名古屋グランパス,6,3,2,0,1,5,4,1,,,231.0,2012,Ｊリーグ　ディビジョン１,3,,,,
6,グラフ,7,浦和レッズ,6,3,2,0,1,3,2,1,,,111.0,2012,Ｊリーグ　ディビジョン１,3,,,,
7,グラフ,8,川崎フロンターレ,6,3,2,0,1,2,1,1,,,142.0,2012,Ｊリーグ　ディビジョン１,3,,,,
8,グラフ,9,ヴィッセル神戸,6,3,2,0,1,5,5,0,,,281.0,2012,Ｊリーグ　ディビジョン１,3,,,,
9,グラフ,10,柏レイソル,4,3,1,1,1,5,5,0,,,122.0,2012,Ｊリーグ　ディビジョン１,3,,,,
10,グラフ,11,サガン鳥栖,4,3,1,1,1,2,2,0,,,412.0,2012,Ｊリーグ　ディビジョン１,3,,,,
11,グラフ,12,清水エスパルス,3,3,1,0,2,3,4,-1,,,221.0,2012,Ｊリーグ　ディビジョン１,3,,,,
12,グラフ,13,大宮アルディージャ,3,3,1,0,2,3,6,-3,,,112.0,2012,Ｊリーグ　ディビジョン１,3,,,,
13,グラフ,14,コンサドーレ札幌,1,3,0,1,2,2,4,-2,,,11.0,2012,Ｊリーグ　ディビジョン１,3,,,,
14,グラフ,15,横浜Ｆ・マリノス,1,3,0,1,2,3,6,-3,,,143.0,2012,Ｊリーグ　ディビジョン１,3,,,,
15,グラフ,16,ガンバ大阪,0,3,0,0,3,4,7,-3,,,271.0,2012,Ｊリーグ　ディビジョン１,3,,,,
16,グラフ,17,アルビレックス新潟,0,3,0,0,3,2,5,-3,,,191.0,2012,Ｊリーグ　ディビジョン１,3,,,,
17,グラフ,18,鹿島アントラーズ,0,3,0,0,3,0,4,-4,,,80.0,2012,Ｊリーグ　ディビジョン１,3,,,,
0,グラフ,1,ベガルタ仙台,12,4,4,0,0,9,2,7,,,41.0,2012,Ｊリーグ　ディビジョン１,4,,,,
1,グラフ,2,ジュビロ磐田,10,4,3,1,0,5,2,3,,,222.0,2012,Ｊリーグ　ディビジョン１,4,,,,
2,グラフ,3,ＦＣ東京,9,4,3,0,1,6,3,3,,,130.0,2012,Ｊリーグ　ディビジョン１,4,,,,
3,グラフ,4,サンフレッチェ広島,9,4,3,0,1,5,2,3,,,341.0,2012,Ｊリーグ　ディビジョン１,4,,,,
4,グラフ,5,サガン鳥栖,7,4,2,1,1,5,2,3,,,412.0,2012,Ｊリーグ　ディビジョン１,4,,,,
5,グラフ,6,名古屋グランパス,7,4,2,1,1,6,5,1,,,231.0,2012,Ｊリーグ　ディビジョン１,4,,,,
6,グラフ,7,浦和レッズ,7,4,2,1,1,4,3,1,,,111.0,2012,Ｊリーグ　ディビジョン１,4,,,,
7,グラフ,7,セレッソ大阪,7,4,2,1,1,4,3,1,,,272.0,2012,Ｊリーグ　ディビジョン１,4,,,,
8,グラフ,9,川崎フロンターレ,7,4,2,1,1,3,2,1,,,142.0,2012,Ｊリーグ　ディビジョン１,4,,,,
9,グラフ,10,清水エスパルス,6,4,2,0,2,4,4,0,,,221.0,2012,Ｊリーグ　ディビジョン１,4,,,,
10,グラフ,11,ヴィッセル神戸,6,4,2,0,2,5,8,-3,,,281.0,2012,Ｊリーグ　ディビジョン１,4,,,,
11,グラフ,12,柏レイソル,4,4,1,1,2,5,6,-1,,,122.0,2012,Ｊリーグ　ディビジョン１,4,,,,
12,グラフ,13,大宮アルディージャ,4,4,1,1,2,4,7,-3,,,112.0,2012,Ｊリーグ　ディビジョン１,4,,,,
13,グラフ,14,横浜Ｆ・マリノス,2,4,0,2,2,3,6,-3,,,143.0,2012,Ｊリーグ　ディビジョン１,4,,,,
14,グラフ,15,ガンバ大阪,1,4,0,1,3,5,8,-3,,,271.0,2012,Ｊリーグ　ディビジョン１,4,,,,
15,グラフ,16,アルビレックス新潟,1,4,0,1,3,3,6,-3,,,191.0,2012,Ｊリーグ　ディビジョン１,4,,,,
16,グラフ,17,コンサドーレ札幌,1,4,0,1,3,2,5,-3,,,11.0,2012,Ｊリーグ　ディビジョン１,4,,,,
17,グラフ,18,鹿島アントラーズ,1,4,0,1,3,0,4,-4,,,80.0,2012,Ｊリーグ　ディビジョン１,4,,,,
0,グラフ,1,ベガルタ仙台,13,5,4,1,0,11,4,7,,,41.0,2012,Ｊリーグ　ディビジョン１,5,,,,
1,グラフ,2,サンフレッチェ広島,12,5,4,0,1,9,3,6,,,341.0,2012,Ｊリーグ　ディビジョン１,5,,,,
2,グラフ,3,ＦＣ東京,12,5,4,0,1,7,3,4,,,130.0,2012,Ｊリーグ　ディビジョン１,5,,,,
3,グラフ,4,ジュビロ磐田,11,5,3,2,0,7,4,3,,,222.0,2012,Ｊリーグ　ディビジョン１,5,,,,
4,グラフ,5,セレッソ大阪,10,5,3,1,1,7,3,4,,,272.0,2012,Ｊリーグ　ディビジョン１,5,,,,
5,グラフ,6,浦和レッズ,10,5,3,1,1,7,4,3,,,111.0,2012,Ｊリーグ　ディビジョン１,5,,,,
6,グラフ,7,名古屋グランパス,10,5,3,1,1,7,5,2,,,231.0,2012,Ｊリーグ　ディビジョン１,5,,,,
7,グラフ,8,清水エスパルス,9,5,3,0,2,5,4,1,,,221.0,2012,Ｊリーグ　ディビジョン１,5,,,,
8,グラフ,9,サガン鳥栖,7,5,2,1,2,5,3,2,,,412.0,2012,Ｊリーグ　ディビジョン１,5,,,,
9,グラフ,10,柏レイソル,7,5,2,1,2,7,6,1,,,122.0,2012,Ｊリーグ　ディビジョン１,5,,,,
10,グラフ,11,川崎フロンターレ,7,5,2,1,2,3,3,0,,,142.0,2012,Ｊリーグ　ディビジョン１,5,,,,
11,グラフ,12,ヴィッセル神戸,6,5,2,0,3,5,9,-4,,,281.0,2012,Ｊリーグ　ディビジョン１,5,,,,
12,グラフ,13,大宮アルディージャ,4,5,1,1,3,4,10,-6,,,112.0,2012,Ｊリーグ　ディビジョン１,5,,,,
13,グラフ,14,横浜Ｆ・マリノス,3,5,0,3,2,3,6,-3,,,143.0,2012,Ｊリーグ　ディビジョン１,5,,,,
14,グラフ,15,アルビレックス新潟,2,5,0,2,3,3,6,-3,,,191.0,2012,Ｊリーグ　ディビジョン１,5,,,,
15,グラフ,16,コンサドーレ札幌,1,5,0,1,4,2,7,-5,,,11.0,2012,Ｊリーグ　ディビジョン１,5,,,,
16,グラフ,17,ガンバ大阪,1,5,0,1,4,6,12,-6,,,271.0,2012,Ｊリーグ　ディビジョン１,5,,,,
17,グラフ,18,鹿島アントラーズ,1,5,0,1,4,1,7,-6,,,80.0,2012,Ｊリーグ　ディビジョン１,5,,,,
0,グラフ,1,ベガルタ仙台,16,6,5,1,0,14,6,8,,,41.0,2012,Ｊリーグ　ディビジョン１,6,,,,
1,グラフ,2,浦和レッズ,13,6,4,1,1,9,4,5,,,111.0,2012,Ｊリーグ　ディビジョン１,6,,,,
2,グラフ,3,名古屋グランパス,13,6,4,1,1,10,6,4,,,231.0,2012,Ｊリーグ　ディビジョン１,6,,,,
3,グラフ,4,サンフレッチェ広島,12,6,4,0,2,9,4,5,,,341.0,2012,Ｊリーグ　ディビジョン１,6,,,,
4,グラフ,5,ＦＣ東京,12,6,4,0,2,8,5,3,,,130.0,2012,Ｊリーグ　ディビジョン１,6,,,,
5,グラフ,6,清水エスパルス,12,6,4,0,2,8,6,2,,,221.0,2012,Ｊリーグ　ディビジョン１,6,,,,
6,グラフ,7,ジュビロ磐田,11,6,3,2,1,9,7,2,,,222.0,2012,Ｊリーグ　ディビジョン１,6,,,,
7,グラフ,8,セレッソ大阪,10,6,3,1,2,7,4,3,,,272.0,2012,Ｊリーグ　ディビジョン１,6,,,,
8,グラフ,9,サガン鳥栖,10,6,3,1,2,6,3,3,,,412.0,2012,Ｊリーグ　ディビジョン１,6,,,,
9,グラフ,10,柏レイソル,7,6,2,1,3,9,9,0,,,122.0,2012,Ｊリーグ　ディビジョン１,6,,,,
10,グラフ,11,川崎フロンターレ,7,6,2,1,3,5,6,-1,,,142.0,2012,Ｊリーグ　ディビジョン１,6,,,,
11,グラフ,12,ヴィッセル神戸,6,6,2,0,4,5,11,-6,,,281.0,2012,Ｊリーグ　ディビジョン１,6,,,,
12,グラフ,13,アルビレックス新潟,5,6,1,2,3,4,6,-2,,,191.0,2012,Ｊリーグ　ディビジョン１,6,,,,
13,グラフ,14,大宮アルディージャ,5,6,1,2,3,5,11,-6,,,112.0,2012,Ｊリーグ　ディビジョン１,6,,,,
14,グラフ,15,横浜Ｆ・マリノス,4,6,0,4,2,4,7,-3,,,143.0,2012,Ｊリーグ　ディビジョン１,6,,,,
15,グラフ,16,ガンバ大阪,4,6,1,1,4,9,14,-5,,,271.0,2012,Ｊリーグ　ディビジョン１,6,,,,
16,グラフ,17,鹿島アントラーズ,4,6,1,1,4,3,8,-5,,,80.0,2012,Ｊリーグ　ディビジョン１,6,,,,
17,グラフ,18,コンサドーレ札幌,1,6,0,1,5,3,10,-7,,,11.0,2012,Ｊリーグ　ディビジョン１,6,,,,
0,グラフ,1,ベガルタ仙台,19,7,6,1,0,18,6,12,,,41.0,2012,Ｊリーグ　ディビジョン１,7,,,,
1,グラフ,2,名古屋グランパス,14,7,4,2,1,11,7,4,,,231.0,2012,Ｊリーグ　ディビジョン１,7,,,,
2,グラフ,3,ジュビロ磐田,14,7,4,2,1,10,7,3,,,222.0,2012,Ｊリーグ　ディビジョン１,7,,,,
3,グラフ,4,サンフレッチェ広島,13,7,4,1,2,10,5,5,,,341.0,2012,Ｊリーグ　ディビジョン１,7,,,,
4,グラフ,5,サガン鳥栖,13,7,4,1,2,7,3,4,,,412.0,2012,Ｊリーグ　ディビジョン１,7,,,,
5,グラフ,6,浦和レッズ,13,7,4,1,2,9,6,3,,,111.0,2012,Ｊリーグ　ディビジョン１,7,,,,
6,グラフ,7,清水エスパルス,12,7,4,0,3,9,9,0,,,221.0,2012,Ｊリーグ　ディビジョン１,7,,,,
7,グラフ,8,ＦＣ東京,12,7,4,0,3,8,9,-1,,,130.0,2012,Ｊリーグ　ディビジョン１,7,,,,
8,グラフ,9,セレッソ大阪,10,7,3,1,3,9,7,2,,,272.0,2012,Ｊリーグ　ディビジョン１,7,,,,
9,グラフ,10,川崎フロンターレ,10,7,3,1,3,8,8,0,,,142.0,2012,Ｊリーグ　ディビジョン１,7,,,,
10,グラフ,11,ヴィッセル神戸,9,7,3,0,4,8,12,-4,,,281.0,2012,Ｊリーグ　ディビジョン１,7,,,,
11,グラフ,12,大宮アルディージャ,8,7,2,2,3,7,11,-4,,,112.0,2012,Ｊリーグ　ディビジョン１,7,,,,
12,グラフ,13,柏レイソル,7,7,2,1,4,10,12,-2,,,122.0,2012,Ｊリーグ　ディビジョン１,7,,,,
13,グラフ,14,ガンバ大阪,7,7,2,1,4,12,15,-3,,,271.0,2012,Ｊリーグ　ディビジョン１,7,,,,
14,グラフ,15,鹿島アントラーズ,7,7,2,1,4,6,10,-4,,,80.0,2012,Ｊリーグ　ディビジョン１,7,,,,
15,グラフ,16,アルビレックス新潟,5,7,1,2,4,4,7,-3,,,191.0,2012,Ｊリーグ　ディビジョン１,7,,,,
16,グラフ,17,横浜Ｆ・マリノス,4,7,0,4,3,4,8,-4,,,143.0,2012,Ｊリーグ　ディビジョン１,7,,,,
17,グラフ,18,コンサドーレ札幌,1,7,0,1,6,5,13,-8,,,11.0,2012,Ｊリーグ　ディビジョン１,7,,,,
0,グラフ,1,ベガルタ仙台,22,8,7,1,0,19,6,13,,,41.0,2012,Ｊリーグ　ディビジョン１,8,,,,
1,グラフ,2,サンフレッチェ広島,16,8,5,1,2,14,6,8,,,341.0,2012,Ｊリーグ　ディビジョン１,8,,,,
2,グラフ,3,浦和レッズ,16,8,5,1,2,11,7,4,,,111.0,2012,Ｊリーグ　ディビジョン１,8,,,,
3,グラフ,4,清水エスパルス,15,8,5,0,3,10,9,1,,,221.0,2012,Ｊリーグ　ディビジョン１,8,,,,
4,グラフ,5,サガン鳥栖,14,8,4,2,2,8,4,4,,,412.0,2012,Ｊリーグ　ディビジョン１,8,,,,
5,グラフ,6,名古屋グランパス,14,8,4,2,2,12,9,3,,,231.0,2012,Ｊリーグ　ディビジョン１,8,,,,
6,グラフ,7,ジュビロ磐田,14,8,4,2,2,12,10,2,,,222.0,2012,Ｊリーグ　ディビジョン１,8,,,,
7,グラフ,8,セレッソ大阪,13,8,4,1,3,12,9,3,,,272.0,2012,Ｊリーグ　ディビジョン１,8,,,,
8,グラフ,9,ＦＣ東京,12,8,4,0,4,8,10,-2,,,130.0,2012,Ｊリーグ　ディビジョン１,8,,,,
9,グラフ,10,大宮アルディージャ,11,8,3,2,3,9,12,-3,,,112.0,2012,Ｊリーグ　ディビジョン１,8,,,,
10,グラフ,11,鹿島アントラーズ,10,8,3,1,4,11,10,1,,,80.0,2012,Ｊリーグ　ディビジョン１,8,,,,
11,グラフ,12,川崎フロンターレ,10,8,3,1,4,9,12,-3,,,142.0,2012,Ｊリーグ　ディビジョン１,8,,,,
12,グラフ,13,ヴィッセル神戸,9,8,3,0,5,9,15,-6,,,281.0,2012,Ｊリーグ　ディビジョン１,8,,,,
13,グラフ,14,柏レイソル,8,8,2,2,4,11,13,-2,,,122.0,2012,Ｊリーグ　ディビジョン１,8,,,,
14,グラフ,15,横浜Ｆ・マリノス,7,8,1,4,3,7,9,-2,,,143.0,2012,Ｊリーグ　ディビジョン１,8,,,,
15,グラフ,16,ガンバ大阪,7,8,2,1,5,12,20,-8,,,271.0,2012,Ｊリーグ　ディビジョン１,8,,,,
16,グラフ,17,アルビレックス新潟,5,8,1,2,5,4,8,-4,,,191.0,2012,Ｊリーグ　ディビジョン１,8,,,,
17,グラフ,18,コンサドーレ札幌,1,8,0,1,7,6,15,-9,,,11.0,2012,Ｊリーグ　ディビジョン１,8,,,,
0,グラフ,1,ベガルタ仙台,23,9,7,2,0,20,7,13,,,41.0,2012,Ｊリーグ　ディビジョン１,9,,,,
1,グラフ,2,清水エスパルス,18,9,6,0,3,13,9,4,,,221.0,2012,Ｊリーグ　ディビジョン１,9,,,,
2,グラフ,3,サンフレッチェ広島,16,9,5,1,3,14,7,7,,,341.0,2012,Ｊリーグ　ディビジョン１,9,,,,
3,グラフ,4,浦和レッズ,16,9,5,1,3,12,9,3,,,111.0,2012,Ｊリーグ　ディビジョン１,9,,,,
4,グラフ,5,サガン鳥栖,15,9,4,3,2,9,5,4,,,412.0,2012,Ｊリーグ　ディビジョン１,9,,,,
5,グラフ,6,名古屋グランパス,14,8,4,2,2,12,9,3,,,231.0,2012,Ｊリーグ　ディビジョン１,9,,,,
6,グラフ,7,ジュビロ磐田,14,9,4,2,3,15,14,1,,,222.0,2012,Ｊリーグ　ディビジョン１,9,,,,
7,グラフ,8,セレッソ大阪,13,9,4,1,4,12,10,2,,,272.0,2012,Ｊリーグ　ディビジョン１,9,,,,
8,グラフ,9,川崎フロンターレ,13,9,4,1,4,13,15,-2,,,142.0,2012,Ｊリーグ　ディビジョン１,9,,,,
9,グラフ,10,ＦＣ東京,12,8,4,0,4,8,10,-2,,,130.0,2012,Ｊリーグ　ディビジョン１,9,,,,
10,グラフ,11,ヴィッセル神戸,12,9,4,0,5,12,15,-3,,,281.0,2012,Ｊリーグ　ディビジョン１,9,,,,
11,グラフ,12,大宮アルディージャ,11,9,3,2,4,9,15,-6,,,112.0,2012,Ｊリーグ　ディビジョン１,9,,,,
12,グラフ,13,横浜Ｆ・マリノス,10,9,2,4,3,9,10,-1,,,143.0,2012,Ｊリーグ　ディビジョン１,9,,,,
13,グラフ,14,鹿島アントラーズ,10,9,3,1,5,11,13,-2,,,80.0,2012,Ｊリーグ　ディビジョン１,9,,,,
14,グラフ,15,柏レイソル,8,8,2,2,4,11,13,-2,,,122.0,2012,Ｊリーグ　ディビジョン１,9,,,,
15,グラフ,16,アルビレックス新潟,8,9,2,2,5,5,8,-3,,,191.0,2012,Ｊリーグ　ディビジョン１,9,,,,
16,グラフ,17,ガンバ大阪,7,8,2,1,5,12,20,-8,,,271.0,2012,Ｊリーグ　ディビジョン１,9,,,,
17,グラフ,18,コンサドーレ札幌,4,9,1,1,7,7,15,-8,,,11.0,2012,Ｊリーグ　ディビジョン１,9,,,,
0,グラフ,1,ベガルタ仙台,23,10,7,2,1,20,8,12,,,41.0,2012,Ｊリーグ　ディビジョン１,10,,,,
1,グラフ,2,清水エスパルス,21,10,7,0,3,14,9,5,,,221.0,2012,Ｊリーグ　ディビジョン１,10,,,,
2,グラフ,3,サンフレッチェ広島,19,10,6,1,3,19,9,10,,,341.0,2012,Ｊリーグ　ディビジョン１,10,,,,
3,グラフ,4,浦和レッズ,17,10,5,2,3,14,11,3,,,111.0,2012,Ｊリーグ　ディビジョン１,10,,,,
4,グラフ,5,サガン鳥栖,16,10,4,4,2,9,5,4,,,412.0,2012,Ｊリーグ　ディビジョン１,10,,,,
5,グラフ,6,川崎フロンターレ,16,10,5,1,4,16,17,-1,,,142.0,2012,Ｊリーグ　ディビジョン１,10,,,,
6,グラフ,7,ジュビロ磐田,15,10,4,3,3,17,16,1,,,222.0,2012,Ｊリーグ　ディビジョン１,10,,,,
7,グラフ,8,ＦＣ東京,15,9,5,0,4,10,10,0,,,130.0,2012,Ｊリーグ　ディビジョン１,10,,,,
8,グラフ,9,ヴィッセル神戸,15,10,5,0,5,14,16,-2,,,281.0,2012,Ｊリーグ　ディビジョン１,10,,,,
9,グラフ,10,名古屋グランパス,14,9,4,2,3,14,12,2,,,231.0,2012,Ｊリーグ　ディビジョン１,10,,,,
10,グラフ,11,大宮アルディージャ,14,10,4,2,4,10,15,-5,,,112.0,2012,Ｊリーグ　ディビジョン１,10,,,,
11,グラフ,12,セレッソ大阪,13,10,4,1,5,13,12,1,,,272.0,2012,Ｊリーグ　ディビジョン１,10,,,,
12,グラフ,13,横浜Ｆ・マリノス,13,10,3,4,3,11,11,0,,,143.0,2012,Ｊリーグ　ディビジョン１,10,,,,
13,グラフ,14,鹿島アントラーズ,11,10,3,2,5,11,13,-2,,,80.0,2012,Ｊリーグ　ディビジョン１,10,,,,
14,グラフ,15,柏レイソル,8,9,2,2,5,13,18,-5,,,122.0,2012,Ｊリーグ　ディビジョン１,10,,,,
15,グラフ,16,アルビレックス新潟,8,10,2,2,6,5,10,-5,,,191.0,2012,Ｊリーグ　ディビジョン１,10,,,,
16,グラフ,17,ガンバ大阪,7,9,2,1,6,12,21,-9,,,271.0,2012,Ｊリーグ　ディビジョン１,10,,,,
17,グラフ,18,コンサドーレ札幌,4,10,1,1,8,8,17,-9,,,11.0,2012,Ｊリーグ　ディビジョン１,10,,,,
0,グラフ,1,ベガルタ仙台,24,11,7,3,1,21,9,12,,,41.0,2012,Ｊリーグ　ディビジョン１,11,,,,
1,グラフ,2,清水エスパルス,22,11,7,1,3,15,10,5,,,221.0,2012,Ｊリーグ　ディビジョン１,11,,,,
2,グラフ,3,サンフレッチェ広島,19,11,6,1,4,20,12,8,,,341.0,2012,Ｊリーグ　ディビジョン１,11,,,,
3,グラフ,4,ジュビロ磐田,18,11,5,3,3,20,16,4,,,222.0,2012,Ｊリーグ　ディビジョン１,11,,,,
4,グラフ,5,浦和レッズ,18,11,5,3,3,15,12,3,,,111.0,2012,Ｊリーグ　ディビジョン１,11,,,,
5,グラフ,6,ＦＣ東京,18,10,6,0,4,11,10,1,,,130.0,2012,Ｊリーグ　ディビジョン１,11,,,,
6,グラフ,7,サガン鳥栖,17,11,4,5,2,10,6,4,,,412.0,2012,Ｊリーグ　ディビジョン１,11,,,,
7,グラフ,8,名古屋グランパス,17,10,5,2,3,15,12,3,,,231.0,2012,Ｊリーグ　ディビジョン１,11,,,,
8,グラフ,9,横浜Ｆ・マリノス,16,11,4,4,3,14,12,2,,,143.0,2012,Ｊリーグ　ディビジョン１,11,,,,
9,グラフ,10,川崎フロンターレ,16,11,5,1,5,16,19,-3,,,142.0,2012,Ｊリーグ　ディビジョン１,11,,,,
10,グラフ,11,ヴィッセル神戸,15,11,5,0,6,14,17,-3,,,281.0,2012,Ｊリーグ　ディビジョン１,11,,,,
11,グラフ,12,大宮アルディージャ,15,11,4,3,4,11,16,-5,,,112.0,2012,Ｊリーグ　ディビジョン１,11,,,,
12,グラフ,13,セレッソ大阪,14,11,4,2,5,14,13,1,,,272.0,2012,Ｊリーグ　ディビジョン１,11,,,,
13,グラフ,14,柏レイソル,11,10,3,2,5,15,18,-3,,,122.0,2012,Ｊリーグ　ディビジョン１,11,,,,
14,グラフ,15,鹿島アントラーズ,11,11,3,2,6,11,16,-5,,,80.0,2012,Ｊリーグ　ディビジョン１,11,,,,
15,グラフ,16,アルビレックス新潟,9,11,2,3,6,6,11,-5,,,191.0,2012,Ｊリーグ　ディビジョン１,11,,,,
16,グラフ,17,ガンバ大阪,8,10,2,2,6,13,22,-9,,,271.0,2012,Ｊリーグ　ディビジョン１,11,,,,
17,グラフ,18,コンサドーレ札幌,4,11,1,1,9,8,18,-10,,,11.0,2012,Ｊリーグ　ディビジョン１,11,,,,
0,グラフ,1,ベガルタ仙台,27,12,8,3,1,25,9,16,,,41.0,2012,Ｊリーグ　ディビジョン１,12,,,,
1,グラフ,2,サンフレッチェ広島,22,12,7,1,4,23,14,9,,,341.0,2012,Ｊリーグ　ディビジョン１,12,,,,
2,グラフ,3,清水エスパルス,22,12,7,1,4,15,11,4,,,221.0,2012,Ｊリーグ　ディビジョン１,12,,,,
3,グラフ,4,ジュビロ磐田,21,12,6,3,3,26,17,9,,,222.0,2012,Ｊリーグ　ディビジョン１,12,,,,
4,グラフ,5,浦和レッズ,21,12,6,3,3,16,12,4,,,111.0,2012,Ｊリーグ　ディビジョン１,12,,,,
5,グラフ,6,ＦＣ東京,21,11,7,0,4,14,12,2,,,130.0,2012,Ｊリーグ　ディビジョン１,12,,,,
6,グラフ,7,川崎フロンターレ,19,12,6,1,5,18,19,-1,,,142.0,2012,Ｊリーグ　ディビジョン１,12,,,,
7,グラフ,8,サガン鳥栖,17,12,4,5,3,12,9,3,,,412.0,2012,Ｊリーグ　ディビジョン１,12,,,,
